layer,sae_feat_name,sae_feat_code,sae_feat_idx,moran_i,moran_p_sim
IT-l15,saef030293,030293,30293,0.7849168599996837,0.001
IT-l15,saef030454,030454,30454,0.19380391302468428,0.001
IT-l15,saef030844,030844,30844,0.24970443510637108,0.001
IT-l15,saef031172,031172,31172,0.333206956358956,0.001
IT-l15,saef031372,031372,31372,0.7353259441883034,0.001
IT-l15,saef031490,031490,31490,0.1637929472238259,0.001
IT-l15,saef031562,031562,31562,0.3006607108188525,0.001
IT-l15,saef031785,031785,31785,0.22216082309370114,0.001
IT-l15,saef031879,031879,31879,0.15142906021157293,0.001
IT-l15,saef031955,031955,31955,0.044255315085758674,0.001
IT-l15,saef032008,032008,32008,0.45728207919371366,0.001
IT-l15,saef032528,032528,32528,0.29823193215483534,0.001
IT-l15,saef032731,032731,32731,0.24492192344930322,0.001
